frame_timestamp,Frame Number,X,Y,Z,velocity,snr,target_id
22:21:21:078,54,-0.83789223,0.32575545,0.5889888,-1.04384,5.3599997,1
22:21:21:078,54,0.8726249,0.28995007,0.67044675,0.41748002,8.88,1
22:21:21:078,54,-0.827744,0.35074186,0.5889888,-1.04384,5.8799996,1
22:21:21:078,54,-0.8754807,0.28120947,0.67044675,0.41748002,10.0,1
22:21:21:078,54,-0.81685084,0.37541258,0.5889888,-1.04384,6.64,1
22:21:21:078,54,-0.86353505,0.31599438,0.67044675,0.41748002,11.36,1
22:21:21:078,54,-0.80522263,0.39974552,0.5889888,-1.04384,7.52,1
22:21:21:078,54,-0.85366803,0.34175444,0.67044675,0.41748002,13.12,1
22:21:21:078,54,-0.79286975,0.42371875,0.5889888,-1.04384,8.5199995,1
22:21:21:078,54,-0.8393187,0.37561867,0.67044675,0.41748002,15.12,1
22:21:21:078,54,-0.7842374,0.43949032,0.5889888,-1.04384,9.88,1
22:21:21:078,54,-0.82767415,0.4006254,0.67044675,0.41748002,17.52,1
22:21:21:078,54,-0.77070177,0.46281612,0.5889888,0.41748002,11.639999,1
22:21:21:078,54,-0.8154985,0.4786872,0.63313884,0.41748002,20.119999,1
22:21:21:078,54,-0.7612919,0.47813657,0.5889888,0.41748002,13.88,1
22:21:21:078,54,-0.8060946,0.5062753,0.62365127,0.41748002,22.519999,1
22:21:21:078,54,-0.8514486,0.46602932,0.7077102,0.41748002,7.12,1
22:21:21:078,54,-0.7498247,0.53620857,0.55256766,-1.11328,16.88,1
22:21:21:078,54,-0.79580855,0.52229494,0.62365127,0.41748002,24.519999,1
22:21:21:078,54,-0.73895127,0.55109674,0.55256766,-1.11328,20.76,1
22:21:21:078,54,-0.78520423,0.53810555,0.62365127,0.41748002,25.24,1
22:21:21:078,54,-0.7277823,0.5657646,0.55256766,-1.11328,25.76,1
22:21:21:078,54,-0.7742858,0.553701,0.62365127,0.41748002,24.519999,1
22:21:21:078,54,-0.71632224,0.5802062,0.55256766,-1.11328,31.76,1
22:21:21:078,54,-0.76305765,0.56907487,0.62365127,0.41748002,22.519999,1
22:21:21:078,54,-0.7045756,0.5944156,0.55256766,0.41748002,37.64,1
22:21:21:078,54,-0.75152427,0.58422124,0.62365127,-0.13916,19.76,1
22:21:21:078,54,-0.69254714,0.6083873,0.55256766,0.41748002,41.36,1
22:21:21:078,54,-0.6864287,0.61528224,0.55256766,0.41748002,40.879997,1
22:21:21:078,54,-0.6739867,0.6288868,0.55256766,0.41748002,36.0,1
22:21:21:078,54,-0.66127497,0.6422399,0.55256766,0.41748002,29.359999,1
22:21:21:078,54,-0.65215236,0.6592316,0.54332197,0.41748002,23.0,1
22:21:21:078,54,-0.6455276,0.66572005,0.54332197,-0.6958,17.76,1
22:21:21:078,54,-0.59667724,0.6941912,0.4309443,0.48720002,6.24,1
22:21:21:078,54,-0.7215925,1.5733962,3.0887928,-0.27832,5.8799996,254
22:21:21:078,54,-0.12216865,0.24050562,0.57181466,-0.48720002,21.52,1
22:21:21:078,54,-0.11281783,0.27445927,0.6290187,-0.76552004,124.0,1
22:21:21:078,54,-0.10795916,0.30519623,0.6862228,-0.6958,229.36,1
